interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"53-42-47-52",1,"No",,"No","No intention to migrate",,"",,,,,,
"53-42-47-52",2,"No",,"No","No intention to migrate",,"",,,,,,
"53-42-47-52",3,"No",,"No","No intention to migrate",,"",,,,,,
"01-17-72-49",1,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"01-17-72-49",2,"No",,"No","No intention to migrate",,"",,,,,,
"01-17-72-49",3,"No",,"No","No intention to migrate",,"",,,,,,
"40-86-48-02",1,"No",,"No","No intention to migrate",,"",,,,,,
"40-86-48-02",3,"No",,"No","No intention to migrate",,"",,,,,,
"67-11-34-32",1,"No",,"No","No intention to migrate",,"",,,,,,
"67-11-34-32",2,"No",,"No","No intention to migrate",,"",,,,,,
"67-11-34-32",3,"No",,"No","No intention to migrate",,"",,,,,,
"67-11-34-32",4,"No",,"No","No intention to migrate",,"",,,,,,
"47-85-49-06",1,"No",,"No","No intention to migrate",,"",,,,,,
"47-85-49-06",2,"No",,"No","No intention to migrate",,"",,,,,,
"47-85-49-06",3,"No",,"No","No intention to migrate",,"",,,,,,
"47-85-49-06",4,"No",,"No","No intention to migrate",,"",,,,,,
"47-85-49-06",5,"No",,"No","No intention to migrate",,"",,,,,,
"47-85-49-06",6,"No",,"No","No intention to migrate",,"",,,,,,
"68-03-09-51",1,"No",,"No","No intention to migrate",,"",,,,,,
"68-03-09-51",2,"No",,"No","No intention to migrate",,"",,,,,,
"68-03-09-51",3,"No",,"No","No intention to migrate",,"",,,,,,
"68-03-09-51",4,"No",,"No","No intention to migrate",,"",,,,,,
"14-68-63-82",1,"No",,"No","No intention to migrate",,"",,,,,,
"80-91-19-12",1,"No",,"No","No intention to migrate",,"",,,,,,
"25-98-38-14",1,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"25-98-38-14",2,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"25-98-38-14",3,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"50-33-61-65",1,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"88-90-25-85",1,"No",,"No","No intention to migrate",,"",,,,,,
"88-90-25-85",2,"No",,"No","No intention to migrate",,"",,,,,,
"88-90-25-85",3,"No",,"No","No intention to migrate",,"",,,,,,
"88-90-25-85",4,"No",,"No","No intention to migrate",,"",,,,,,
"88-90-25-85",5,"No",,"No","No intention to migrate",,"",,,,,,
"04-83-20-68",1,"No",,"No","No intention to migrate",,"",,,,,,
"04-83-20-68",2,"No",,"No","No intention to migrate",,"",,,,,,
"04-83-20-68",3,"No",,"No","No intention to migrate",,"",,,,,,
"04-83-20-68",4,"No",,"No","No intention to migrate",,"",,,,,,
"09-59-67-21",1,"No",,"No","No intention to migrate",,"",,,,,,
"09-59-67-21",2,"No",,"No","No intention to migrate",,"",,,,,,
"09-59-67-21",3,"No",,"No","No intention to migrate",,"",,,,,,
"09-59-67-21",4,"No",,"No","No intention to migrate",,"",,,,,,
"09-59-67-21",6,"No",,"No","No intention to migrate",,"",,,,,,
"09-59-67-21",7,"No",,"No","No intention to migrate",,"",,,,,,
"35-03-03-59",1,"Yes","No","Yes",,,"",2022,2022,,,,
"35-03-03-59",2,"Yes","No","Yes",,,"",2022,2022,,,,
"35-03-03-59",3,"No",,"No","No intention to migrate",,"",,,,,,
"10-50-64-24",1,"No",,"No","No intention to migrate",,"",,,,,,
"10-50-64-24",2,"No",,"No","No intention to migrate",,"",,,,,,
"10-50-64-24",5,"No",,"No","Yes temporarily migrate","Outside the country","",,,,,,
"10-50-64-24",6,"No",,"No","No intention to migrate",,"",,,,,,
"13-56-95-25",1,"No",,"No","No intention to migrate",,"",,,,,,
"13-56-95-25",2,"No",,"No","No intention to migrate",,"",,,,,,
"13-56-95-25",4,"No",,"No","No intention to migrate",,"",,,,,,
"13-56-95-25",6,"No",,"No","No intention to migrate",,"",,,,,,
"36-88-00-01",1,"No",,"No","No intention to migrate",,"",,,,,,
"36-88-00-01",2,"No",,"No","No intention to migrate",,"",,,,,,
"36-88-00-01",3,"No",,"No","No intention to migrate",,"",,,,,,
"36-88-00-01",5,"No",,"No","No intention to migrate",,"",,,,,,
"63-25-21-02",1,"No",,"No","No intention to migrate",,"",,,,,,
"63-25-21-02",2,"No",,"No","No intention to migrate",,"",,,,,,
"63-25-21-02",3,"No",,"No","No intention to migrate",,"",,,,,,
"08-07-30-74",1,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"08-07-30-74",2,"No",,"No","No intention to migrate",,"",,,,,,
"08-07-30-74",3,"No",,"No","No intention to migrate",,"",,,,,,
"08-07-30-74",4,"No",,"No","No intention to migrate",,"",,,,,,
"08-07-30-74",7,"No",,"No","No intention to migrate",,"",,,,,,
"18-39-69-08",1,"No",,"No","No intention to migrate",,"",,,,,,
"18-39-69-08",2,"No",,"No","No intention to migrate",,"",,,,,,
"18-39-69-08",3,"No",,"No","No intention to migrate",,"",,,,,,
"97-46-11-48",1,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"97-46-11-48",2,"No",,"No","No intention to migrate",,"",,,,,,
"97-46-11-48",5,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"12-85-99-43",1,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"12-85-99-43",2,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"12-85-99-43",3,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"55-14-49-61",1,"No",,"No","No intention to migrate",,"",,,,,,
"55-14-49-61",2,"No",,"No","No intention to migrate",,"",,,,,,
"94-26-98-86",1,"No",,"No","No intention to migrate",,"",,,,,,
"94-26-98-86",2,"No",,"No","No intention to migrate",,"",,,,,,
"32-96-01-37",1,"No",,"No","No intention to migrate",,"",,,,,,
"32-96-01-37",2,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"32-96-01-37",3,"No",,"No","No intention to migrate",,"",,,,,,
"32-96-01-37",6,"No",,"No","Yes permanently migrate","Capital city","",,,,,,
"41-92-38-71",1,"No",,"No","No intention to migrate",,"",,,,,,
"41-92-38-71",2,"No",,"No","No intention to migrate",,"",,,,,,
"43-40-50-14",1,"No",,"No","No intention to migrate",,"",,,,,,
"43-40-50-14",2,"No",,"No","No intention to migrate",,"",,,,,,
"33-52-73-44",1,"No",,"No","No intention to migrate",,"",,,,,,
"33-52-73-44",2,"No",,"No","No intention to migrate",,"",,,,,,
"17-65-44-15",1,"No",,"No","No intention to migrate",,"",,,,,,
"17-65-44-15",2,"No",,"No","No intention to migrate",,"",,,,,,
"17-65-44-15",3,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"77-00-14-73",1,"No",,"No","No intention to migrate",,"",,,,,,
"77-00-14-73",2,"No",,"No","No intention to migrate",,"",,,,,,
"77-00-14-73",3,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"77-00-14-73",4,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"77-00-14-73",5,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"77-00-14-73",6,"No",,"No","Yes temporarily migrate","Outside the country","",,,,,,
"78-98-94-60",1,"No",,"No","No intention to migrate",,"",,,,,,
"78-98-94-60",2,"No",,"No","No intention to migrate",,"",,,,,,
"78-98-94-60",3,"No",,"No","No intention to migrate",,"",,,,,,
"78-98-94-60",4,"No",,"No","No intention to migrate",,"",,,,,,
"50-51-12-24",1,"No",,"No","No intention to migrate",,"",,,,,,
"50-51-12-24",2,"No",,"No","Yes temporarily migrate","Outside the country","",,,,,,
"50-51-12-24",5,"No",,"No","No intention to migrate",,"",,,,,,
"45-72-98-81",1,"No",,"No","No intention to migrate",,"",,,,,,
"98-20-22-18",1,"No",,"No","No intention to migrate",,"",,,,,,
"98-20-22-18",2,"No",,"No","No intention to migrate",,"",,,,,,
"12-87-62-64",1,"No",,"Yes","Yes temporarily migrate","Town outside region","",2022,2022,,,,
"12-87-62-64",2,"No",,"Yes","Yes temporarily migrate","Town outside region","",2022,2022,,,,
"12-87-62-64",3,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"12-87-62-64",4,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"02-24-60-64",1,"No",,"No","No intention to migrate",,"",,,,,,
"02-24-60-64",2,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"02-24-60-64",4,"Yes","Yes","Yes",,,"",2014,2023,4,3,3,"Head/Self"
"35-93-85-84",1,"No",,"No","No intention to migrate",,"",,,,,,
"35-93-85-84",2,"No",,"No","No intention to migrate",,"",,,,,,
"35-93-85-84",3,"No",,"No","No intention to migrate",,"",,,,,,
"25-08-98-52",1,"No",,"No","No intention to migrate",,"",,,,,,
"25-08-98-52",2,"No",,"No","No intention to migrate",,"",,,,,,
"25-08-98-52",3,"No",,"No","No intention to migrate",,"",,,,,,
"25-08-98-52",4,"No",,"No","No intention to migrate",,"",,,,,,
"46-54-30-66",1,"No",,"No","No intention to migrate",,"",,,,,,
"46-54-30-66",2,"No",,"No","No intention to migrate",,"",,,,,,
"46-54-30-66",6,"No",,"No","No intention to migrate",,"",,,,,,
"46-54-30-66",7,"No",,"No","No intention to migrate",,"",,,,,,
"19-66-62-79",1,"No",,"No","No intention to migrate",,"",,,,,,
"38-52-59-99",1,"No",,"No","No intention to migrate",,"",,,,,,
"38-52-59-99",2,"No",,"No","Yes temporarily migrate","Village in region","",,,,,,
"38-52-59-99",3,"Yes","No","Yes",,,"",2021,2021,,,,
"38-52-59-99",4,"Yes","No","Yes",,,"",2021,2021,,,,
"38-52-59-99",5,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"38-52-59-99",6,"No",,"Yes","No intention to migrate",,"",2021,2021,,,,
"18-01-52-21",1,"Yes","No","No",,,"",2022,2022,,,,
"18-01-52-21",2,"No",,"No","No intention to migrate",,"",,,,,,
"18-01-52-21",3,"No",,"No","No intention to migrate",,"",,,,,,
"18-01-52-21",5,"No",,"No","No intention to migrate",,"",,,,,,
"52-91-87-71",1,"No",,"No","No intention to migrate",,"",,,,,,
"52-91-87-71",2,"No",,"No","No intention to migrate",,"",,,,,,
"52-91-87-71",3,"No",,"No","No intention to migrate",,"",,,,,,
"52-91-87-71",4,"No",,"No","No intention to migrate",,"",,,,,,
"86-58-98-12",1,"No",,"No","No intention to migrate",,"",,,,,,
"86-58-98-12",2,"No",,"No","No intention to migrate",,"",,,,,,
"86-58-98-12",3,"No",,"No","No intention to migrate",,"",,,,,,
"86-58-98-12",4,"No",,"No","No intention to migrate",,"",,,,,,
"18-53-78-30",1,"No",,"No","No intention to migrate",,"",,,,,,
"18-53-78-30",2,"No",,"No","No intention to migrate",,"",,,,,,
"18-53-78-30",3,"No",,"No","No intention to migrate",,"",,,,,,
"18-53-78-30",4,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"18-53-78-30",5,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"18-53-78-30",6,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"18-53-78-30",7,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"21-70-10-93",1,"No",,"No","No intention to migrate",,"",,,,,,
"21-70-10-93",2,"No",,"No","No intention to migrate",,"",,,,,,
"21-70-10-93",3,"No",,"No","No intention to migrate",,"",,,,,,
"51-51-64-02",1,"No",,"Yes","No intention to migrate",,"",2007,2022,,,,
"51-51-64-02",2,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"51-51-64-02",3,"No",,"No","No intention to migrate",,"",,,,,,
"65-04-27-87",1,"No",,"No","No intention to migrate",,"",,,,,,
"65-04-27-87",2,"No",,"No","No intention to migrate",,"",,,,,,
"26-67-17-34",1,"No",,"No","No intention to migrate",,"",,,,,,
"12-55-61-25",1,"Yes","No","No",,,"",2022,2022,,,,
"12-55-61-25",2,"No",,"No","No intention to migrate",,"",,,,,,
"12-55-61-25",3,"Yes","No","No",,,"",2022,2022,,,,
"12-55-61-25",4,"No",,"No","No intention to migrate",,"",,,,,,
"12-55-61-25",5,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"70-21-00-12",1,"No",,"No","No intention to migrate",,"",,,,,,
"70-21-00-12",2,"No",,"No","No intention to migrate",,"",,,,,,
"09-96-00-56",1,"No",,"No","No intention to migrate",,"",,,,,,
"09-96-00-56",2,"No",,"No","No intention to migrate",,"",,,,,,
"09-96-00-56",3,"No",,"No","No intention to migrate",,"",,,,,,
