interview__key,num_plots,lnd_mes,lnd_mes_1,plot_name,plot_area,begin_year,land_acquire,time_plot_home,soil_type,signs_good_plot__1,signs_good_plot__2,signs_good_plot__3,signs_good_plot__4,signs_good_plot__5,signs_good_plot__6,signs_good_plot__96,signs_good_plot_oth,plot_problem__1,plot_problem__2,plot_problem__3,plot_problem__4,plot_problem__5,plot_problem__6,plot_problem__96,plot_problem_other,if_soilwater_cons__1,if_soilwater_cons__2,if_soilwater_cons__3,if_soilwater_cons__4,if_soilwater_cons__5,if_soilwater_cons__6,if_soilwater_cons__7,if_soilwater_cons__9,if_soilwater_cons__10,if_soilwater_cons__11,if_soilwater_cons__12,if_soilwater_cons__13,if_soilwater_cons__14,if_soilwater_cons__15,if_soilwater_cons__96,if_soilwater_conservation_other,trees_onfarm,why_trees__1,why_trees__2,why_trees__3,why_trees__4,why_trees__5,why_trees__96,why_trees_oth
"38-52-59-99",1,"Hectares","","Sambona",50,"2003","Ceded by traditional authorities",15,"Clay",0,0,0,0,0,0,1,"it's not really a good plot for farming because of its soil type so they were just given it and they were desperate with farming to get something to eat",0,1,0,0,0,0,1,"Too man pestis eating their crops",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"","Yes",1,0,1,0,0,0,""
"18-01-52-21",1,"Hectares","","Sambona",100,"2020","Inherited",60,"Silt",0,0,0,0,0,0,1,"They don't have anywhere else to farm apart from there",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Yes",1,1,0,0,0,0,""
"52-91-87-71",1,"Hectares","","Kwi Dipi",1,"2005","Inherited",20,"Loam",0,1,0,0,0,0,0,"",0,0,0,0,1,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","No",,,,,,,""
"86-58-98-12",0,"Hectares","","",,"",,,,,,,,,,,"",,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,""
"18-53-78-30",1,"Hectares","","Mazer",3,"2001","Ceded by relatives",60,"Sand",0,1,0,0,0,0,0,"",0,1,0,1,0,0,0,"",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"","No",,,,,,,""
"21-70-10-93",3,"Hectares","","Impalila",2,"1964","Inherited",8,"Silt",0,1,0,0,1,0,0,"",0,0,0,0,0,0,1,"hippoes",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"","Yes",1,0,0,0,0,1,"trees that bears fruits"
"51-51-64-02",1,"Hectares","","Sikuwa",4,"2016","Ceded by relatives",45,"Sand",0,1,0,1,0,0,0,"",0,1,1,0,1,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"","Yes",1,0,0,0,0,0,""
"65-04-27-87",1,"Hectares","","Makurudonsa",80,"2018","Inherited",30,"Loam",1,0,0,1,0,0,0,"",0,0,0,0,0,0,1,"wild animals are always destroying the crops",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"","Yes",1,0,0,0,0,0,""
"26-67-17-34",2,"Hectares","","Mwandebu",2,"2018","Inherited",30,"Loam",1,0,0,0,0,1,0,"",0,1,1,0,0,0,0,"",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","Yes",1,0,1,0,0,0,""
"12-55-61-25",1,"Hectares","","Nandavu",1000,"2016","Inherited",120,"Sand",0,1,0,1,0,0,0,"",1,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"","Yes",1,0,1,0,0,0,""
