interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"36-88-00-01","Dirt road/ bush road","Almost not passable","Yes","Yes","Yes","Yes","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"63-25-21-02","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","No","No",,2,"Yes","No",,"No",,,,,,"Yes","Yes","Yes","No","No","No","No","No",,"No","Yes","No","No","No","No","No",
"08-07-30-74","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","Yes","No","No","No",,8,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"18-39-69-08","Dirt road/ bush road","Almost not passable","No","No","No","No","Yes","No","No","No",,8,"No",,,,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
"97-46-11-48","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","No","Yes","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"12-85-99-43","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","Yes","No",,30,"No",,,,,,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"55-14-49-61","Murram/ gravel road","Only passable with certain vehicles/ at certain times","No","No","Yes","Yes","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","Yes","No","No","Yes","No",
"94-26-98-86","Murram/ gravel road","Well passable","No","No","No","Yes","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"32-96-01-37","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"41-92-38-71","Dirt road/ bush road","Well passable","Yes","No","Yes","No","Yes","No","Yes","No",,10,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"43-40-50-14","Dirt road/ bush road","Well passable","Yes","No","Yes","No","Yes","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"33-52-73-44","Dirt road/ bush road","Well passable","Yes","No","Yes","No","Yes","No","Yes","No",,15,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"17-65-44-15","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","Yes","No","No",,4,"No",,,,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
"77-00-14-73","Dirt road/ bush road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
"78-98-94-60","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,3,"Yes","No",,"No",,,,,,"Yes","No","No","No","No","No","No","No",,"No","Yes","Yes","No","No","No","No",
"50-51-12-24","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"45-72-98-81","Murram/ gravel road","Well passable","No","No","Yes","No","No","No","No","Yes",,6,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
